School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Cluster,Gifted_Prob,Gifted
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.137382251,1.137029659,1,0.9670242414160466,0
3,5,16,30.0,1.0,5,22,1,1,18.18,4.55,1.141093471,1.124502754,1,0.9666513818652791,0
9,2,50,20.0,0.0,3,20,1,1,15.0,15.0,1.129391197,-0.273501645,1,0.9664992599033709,0
7,3,36,30.0,1.0,4,22,1,1,27.27,9.1,1.034574989,1.216842322,1,0.9663803365303989,0
8,5,46,30.0,1.0,5,22,1,1,22.73,9.09,0.636062099,1.352649606,1,0.9655078934225367,0
5,8,28,20.0,0.0,6,24,1,1,16.67,0.0,1.018891521,-0.561108068,1,0.965386834914709,0
7,5,38,30.0,1.0,5,21,1,1,23.8,9.5,0.56528654,1.360087728,1,0.9653752355845838,0
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,1.272536792,0.348131587,1,0.9653079517635786,0
9,6,54,30.0,1.0,6,21,1,1,38.1,9.52,0.982572271,1.223334954,1,0.9646340200498221,0
9,6,54,30.0,1.0,6,21,2,1,38.1,9.52,0.982572271,1.223334954,1,0.9646340200498221,0
9,6,55,20.0,0.0,6,20,1,1,30.0,5.0,1.257669535,0.81279283,1,0.9645211182640087,0
2,2,7,40.0,2.0,3,19,1,1,5.26,63.15,1.145640701,1.06922244,1,0.964465320485197,0
5,6,26,30.0,1.0,5,22,1,1,4.54,9.09,0.592747488,1.345448531,1,0.9642259241244407,0
6,2,30,30.0,1.0,4,23,1,1,8.7,13.04,1.203564642,0.049523932,1,0.9638658852720129,0
5,5,25,40.0,2.0,5,22,1,1,18.18,9.09,0.045417205,1.336743672,1,0.9637824021300853,0
2,6,11,30.0,1.0,6,20,2,1,15.0,20.0,1.272536792,0.536310822,1,0.9636721342880427,0
2,1,6,40.0,2.0,3,22,2,2,13.64,77.27,1.214346989,0.108358486,1,0.963492499525471,0
7,5,38,30.0,1.0,5,21,1,1,23.8,9.5,1.263581677,0.494577356,1,0.9628655086121706,0
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,0.031195734,1.327900124,1,0.962765629851302,0
5,6,26,30.0,1.0,5,22,1,1,4.54,9.09,1.204018336,0.913333675,1,0.9626672781444051,0
8,3,44,30.0,1.0,4,22,1,1,27.27,18.18,0.904438943,1.23224982,1,0.9621562756587034,0
5,5,25,40.0,2.0,5,22,1,1,18.18,9.09,0.445088606,1.336743672,1,0.9618741831974489,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,0.64503148,1.311532687,1,0.9616451641645937,0
5,1,21,30.0,1.0,3,21,1,1,23.81,23.81,0.881622372,1.233781389,1,0.961401854434754,0
7,7,40,20.0,0.0,6,22,1,1,22.73,4.55,1.158298656,0.964716126,1,0.961000227270752,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,1.182943036,0.887083965,1,0.9601899071227168,0
6,4,32,30.0,1.0,5,23,2,1,26.09,26.09,0.939306836,1.180806285,1,0.9598206112921013,0
1,3,3,20.0,0.0,6,21,2,1,19.05,9.52,0.514784739,1.311532687,1,0.9595877108207077,0
9,6,55,20.0,0.0,6,20,1,1,30.0,5.0,0.931002123,1.182244116,1,0.9595399842449415,0
5,4,24,20.0,0.0,4,19,1,1,5.26,0.0,0.963083378,1.159007864,1,0.9594099671203017,0
5,7,27,30.0,1.0,6,24,1,1,16.67,0.0,1.23202463,0.55096993,1,0.9592969765249926,0
7,1,34,30.0,1.0,3,23,1,1,8.7,4.35,1.227032207,0.617627965,1,0.9590581113500016,0
6,3,31,20.0,0.0,5,22,1,1,13.64,4.55,1.179936302,0.112895406,1,0.9586355201818842,0
3,5,16,30.0,1.0,5,22,1,1,18.18,4.55,0.990769781,1.124502754,1,0.9585076636437356,0
7,8,41,30.0,1.0,6,21,1,1,19.05,0.0,1.222877009,0.570010196,1,0.9583244289653912,0
5,7,27,30.0,1.0,6,24,1,1,16.67,0.0,1.098832778,0.982163789,1,0.9573405696223222,0
9,3,51,20.0,0.0,4,24,1,1,29.17,4.17,0.892428948,1.164792256,1,0.9563434623429642,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,1.010440867,1.06922244,1,0.9560597243732774,0
5,1,21,30.0,1.0,3,21,2,1,23.81,23.81,0.7101958,1.233781389,1,0.9553052849422178,0
7,6,39,40.0,2.0,6,21,1,1,19.05,4.76,0.976830831,1.085930607,1,0.9550500241383219,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,1.182943036,0.286596358,1,0.9549771629603271,0
3,2,13,,,4,22,1,1,40.9,13.64,1.178862927,0.696826574,1,0.9548993768492545,0
3,2,13,,,4,22,1,1,40.9,13.64,1.178862927,0.293400663,1,0.9542801433967776,0
7,8,41,30.0,1.0,6,21,1,1,19.05,0.0,1.003386263,1.048818761,1,0.9542679750403663,0
9,3,51,20.0,0.0,4,24,1,1,29.17,4.17,1.049916409,0.993289102,1,0.9542288856044175,0
5,3,23,50.0,3.0,4,20,1,1,10.0,10.0,1.089603145,0.92149987,1,0.9536932180663726,0
7,3,36,30.0,1.0,4,22,1,1,27.27,9.1,1.034574989,0.999195728,1,0.9534077665904117,0
7,2,35,30.0,1.0,3,21,1,1,14.29,4.76,1.124533388,0.828120078,1,0.9529552751514492,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,0.865555046,1.137029659,1,0.9526173013491493,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,1.165336376,0.291718965,1,0.9523307864278321,0
4,1,18,30.0,1.0,3,25,1,1,20.0,8.0,0.961673933,1.040867752,1,0.9508157711481443,0
3,5,16,30.0,1.0,5,22,1,1,18.18,4.55,1.141093471,0.194462882,1,0.9504966542852344,0
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,0.757669489,1.167863678,1,0.9502332746160598,0
5,7,27,30.0,1.0,6,24,1,1,16.67,0.0,0.832449074,1.125895075,1,0.9498016951475378,0
