School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted
5,8,28,20.0,0.0,6,24,1,1,16.67,0.0,1.018891521,0.663127716,0.9121623795,1,0.9758589371563714,0
3,4,15,30.0,1.0,5,20,2,1,35.0,5.0,0.461682691,1.949618572,0.9080634553,1,0.9755132088306026,0
9,1,49,30.0,1.0,3,21,1,1,9.52,19.05,0.599084124,1.614366008,0.9036686892,1,0.9751371382352182,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,1.165336376,0.291718965,0.9032511526999999,1,0.9751011157519254,0
5,3,23,50.0,3.0,4,20,2,2,10.0,10.0,0.696953363,1.382249806,0.9025422959,1,0.9750398428617045,0
8,6,47,50.0,3.0,6,21,1,1,23.81,0.0,0.796451452,1.143452463,0.9005517553,1,0.9748669919105275,0
2,5,10,20.0,0.0,6,19,2,1,15.79,42.1,0.632927258,1.498754148,0.8926753249999999,1,0.9741714672854282,0
8,3,44,30.0,1.0,4,22,1,1,27.27,18.18,0.904438943,0.860886861,0.8913733183999999,1,0.9740546942998852,0
8,3,44,30.0,1.0,4,22,2,1,27.27,18.18,0.586076435,1.60361278,0.8913373384999999,1,0.974051460050303,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,0.670820393,1.402989967,0.8904712652,1,0.9739734892136099,0
2,1,6,40.0,2.0,3,22,2,2,13.64,77.27,1.214346989,0.108358486,0.8825504381,1,0.9732496804845672,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,0.986008239,0.638111082,0.8816390918999999,1,0.9731651494233733,0
5,5,25,40.0,2.0,5,22,1,1,18.18,9.09,0.844760007,0.966827184,0.8813801601,1,0.9731410848607907,0
2,1,6,40.0,2.0,3,22,1,1,13.64,77.27,0.757669489,1.167863678,0.8807277456999999,1,0.9730803573207045,0
