School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted
9,4,52,20.0,0.0,4,25,1,1,16.0,16.0,28.369287531,22.18609368,0.9460365973,1,0.9785386483504936,0
2,5,10,20.0,0.0,6,19,1,2,15.79,42.1,26.927108342999997,25.482061719,0.9437327062,1,0.9783660445993468,0
6,1,29,40.0,2.0,3,23,1,1,8.7,26.08,26.66007405,26.071330013999997,0.9426056488,1,0.9782811110755022,0
2,2,7,40.0,2.0,3,19,1,2,5.26,63.15,25.877169287999997,27.623001960000003,0.9334354544,1,0.9775777717469514,0
9,3,51,20.0,0.0,4,24,1,2,29.17,4.17,26.031860532000003,26.939601917999997,0.9226869942,1,0.9767248785811236,0
9,3,51,20.0,0.0,4,24,1,1,29.17,4.17,26.031860532000003,26.939601917999997,0.9226869942,1,0.9767248785811236,0
5,7,27,30.0,1.0,6,24,1,1,16.67,0.0,25.492041666,28.133055675,0.9204828743,1,0.9765460878625052,0
3,5,16,30.0,1.0,5,22,1,1,18.18,4.55,26.916928028999997,24.772381245000002,0.9192848882,1,0.976448346922698,0
3,5,16,30.0,1.0,5,22,1,1,18.18,4.55,26.916928028999997,24.772381245000002,0.9192848882,1,0.976448346922698,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,28.646487324,20.579367222000002,0.9140390326,1,0.976015624570798,0
3,2,13,,,4,22,1,1,40.9,13.64,28.609766342999997,20.640605967,0.9132242478,1,0.9759477185677652,0
5,8,28,20.0,0.0,6,24,1,1,16.67,0.0,27.170023688999997,23.968149443999998,0.9121623795,1,0.9758589371563714,0
3,4,15,30.0,1.0,5,20,2,1,35.0,5.0,22.155144219,35.546567147999994,0.9080634553,1,0.9755132088306026,0
9,1,49,30.0,1.0,3,21,1,1,9.52,19.05,23.391757116,32.529294072,0.9036686892,1,0.9751371382352182,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,28.488027384000002,20.625470685,0.9032511527,1,0.9751011157519254,0
5,3,23,50.0,3.0,4,20,2,2,10.0,10.0,24.272580267,30.440248253999997,0.9025422959,1,0.9750398428617044,0
8,6,47,50.0,3.0,6,21,1,1,23.81,0.0,25.168063068000002,28.291072167000003,0.9005517553,1,0.9748669919105276,0
2,5,10,20.0,0.0,6,19,2,1,15.79,42.1,23.696345322,31.488787331999998,0.8926753249999999,1,0.9741714672854282,0
8,3,44,30.0,1.0,4,22,1,1,27.27,18.18,26.139950487,25.747981748999997,0.8913733183999999,1,0.9740546942998852,0
8,3,44,30.0,1.0,4,22,2,1,27.27,18.18,23.274687915,32.43251502,0.8913373384999999,1,0.974051460050303,0
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,24.037383536999997,30.626909703,0.8904712652,1,0.97397348921361,0
2,1,6,40.0,2.0,3,22,2,2,13.64,77.27,28.929122901000003,18.975226374,0.8825504381,1,0.9732496804845672,0
2,1,6,40.0,2.0,3,22,1,2,13.64,77.27,26.874074151000002,23.742999738,0.8816390918999999,1,0.9731651494233732,0
