Grade,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio
4,2,1,5.26,0,1.8,3.4
4,1,1,5.26,0,2.2,1.4
4,1,1,5.26,0,4.4,5
4,1,1,5.26,0,1,1.6
4,1,1,5.26,0,4.2,4.4
4,1,1,5.26,0,3.8,3
4,1,1,5.26,0,3.6,3.8
4,1,1,5.26,0,5.6,4.8
4,1,1,5.26,0,4.6,3.8
4,1,1,5.26,0,2,2.2
4,1,1,5.26,0,2.4,3.6
4,1,1,5.26,0,3.8,4.2
4,1,1,5.26,0,4.4,4.6
4,1,1,5.26,0,4.4,3.6
4,1,1,5.26,0,2.2,3.2
4,1,1,5.26,0,4.8,5
4,1,1,5.26,0,4.8,5.6
4,1,1,5.26,0,4.8,3.8
4,1,1,5.26,0,2.4,3.2
5,1,1,18.18,9.09,4.4,3.4
5,1,1,18.18,9.09,4.2,3.6
5,1,1,18.18,9.09,3,3
5,1,2,18.18,9.09,2.8,1.8
5,1,1,18.18,9.09,4.4,3.8
5,1,1,18.18,9.09,5,3.6
5,1,1,18.18,9.09,4.4,5.2
5,1,1,18.18,9.09,4.2,5.4
5,1,1,18.18,9.09,4.2,2.8
5,1,1,18.18,9.09,4.6,3.2
5,2,1,18.18,9.09,2.6,3
5,1,1,18.18,9.09,4.8,4.4
5,1,1,18.18,9.09,5,5
5,1,1,18.18,9.09,4.6,5.4
5,2,1,18.18,9.09,2,3
5,1,1,18.18,9.09,2.8,3.2
5,1,1,18.18,9.09,4.4,5.2
5,2,1,18.18,9.09,4.4,4.6
5,1,1,18.18,9.09,4.2,3.4
5,1,2,18.18,9.09,5.8,5.2
5,1,1,18.18,9.09,6,5.6
5,2,1,18.18,9.09,3.6,3.2
5,1,1,4.54,9.09,4.2,4.8
5,1,1,4.54,9.09,3.6,2.8
5,1,1,4.54,9.09,3.8,4.6
5,1,2,4.54,9.09,3.4,2.8
5,1,1,4.54,9.09,2,2.8
5,1,1,4.54,9.09,3.2,3.2
5,1,1,4.54,9.09,5.6,4.8
5,2,1,4.54,9.09,2,2.6
5,1,1,4.54,9.09,3.8,3
5,1,1,4.54,9.09,3,3.2
5,1,1,4.54,9.09,1.8,1.8
5,1,1,4.54,9.09,2.2,2.4
5,1,2,4.54,9.09,3.4,3.6
5,1,1,4.54,9.09,3.8,4
5,1,1,4.54,9.09,2,2.2
5,1,1,4.54,9.09,4,4.2
5,1,1,4.54,9.09,2.8,2.4
5,1,1,4.54,9.09,3.8,4.4
5,1,1,4.54,9.09,2.4,3.2
5,1,1,4.54,9.09,2,2.4
5,1,1,4.54,9.09,3.6,4.4
5,1,1,4.54,9.09,4.4,4.2
6,1,1,16.67,0,5.2,5
6,1,1,16.67,0,3,2.6
6,1,1,16.67,0,4.4,3.8
6,2,1,16.67,0,3.6,3.8
6,1,1,16.67,0,5.2,4.6
6,1,1,16.67,0,3,4.6
6,1,1,16.67,0,5,3.6
6,2,1,16.67,0,3,3
6,1,1,16.67,0,6,4.8
6,1,1,16.67,0,1,1
6,1,1,16.67,0,5.4,5.2
6,2,1,16.67,0,2.2,2.8
6,1,1,16.67,0,5,5.2
6,1,1,16.67,0,5.8,5.4
6,1,1,16.67,0,4.2,5
6,1,1,16.67,0,5.4,5.6
6,1,1,16.67,0,3.2,4.2
6,1,1,16.67,0,5.4,5.2
6,1,1,16.67,0,4.8,3.6
6,2,1,16.67,0,1,1
6,1,1,16.67,0,4,3
6,1,1,16.67,0,6,6
6,1,1,16.67,0,2.4,2.4
6,1,1,16.67,0,5.4,5.4
6,2,1,16.67,0,2,2.2
6,1,1,16.67,0,1.8,1.4
6,1,1,16.67,0,5.2,4.8
6,1,1,16.67,0,4.4,2.2
6,1,1,16.67,0,5.2,5
6,1,1,16.67,0,5.2,3.4
6,1,1,16.67,0,4.6,4.8
6,1,1,16.67,0,4,3.8
6,1,1,16.67,0,5.4,5.6
6,1,1,16.67,0,4.6,5
6,2,1,16.67,0,2,2.8
6,1,1,16.67,0,1.8,3
6,2,1,16.67,0,4,5
6,1,1,16.67,0,3.8,4.6
6,1,1,16.67,0,4.8,5.4
6,1,1,16.67,0,3.8,3
6,2,1,16.67,0,4.2,4.2
6,1,1,16.67,0,3.6,4.2
6,1,1,16.67,0,4.2,3.8
6,1,1,16.67,0,4.2,3.6
