School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted,AveAca_converted,AveSocio_converted
4,1,18,30,1,3,25,1,1,20,8,0.439025056,2.542119316,1.069953334,1,0.986069797,0,3.152275836,5.688544417
5,7,27,30,1,6,24,1,1,16.67,0,1.098832778,0.982163789,1.063832081,1,0.985768464,0,3.803361504,3.961362029
8,1,42,30,1,3,16,1,1,18.75,18.75,2.06271852,-1.293768152,1.055772518,1,0.985361849,0,4.754505558,1.441450727
9,6,54,30,1,6,21,2,1,38.1,9.52,0.982572271,1.223334954,1.054801076,1,0.985312068,0,3.688637854,4.228386686
9,6,54,30,1,6,21,1,1,38.1,9.52,0.982572271,1.223334954,1.054801076,1,0.985312068,0,3.688637854,4.228386686
1,4,4,40,2,5,21,1,1,33.33,4.76,0.772736421,1.705433951,1.05254568,1,0.985195845,0,3.481575842,4.76216658
2,6,11,30,1,6,20,2,1,15,20,1.272536792,0.536310822,1.051669001,1,0.985150423,0,3.97476931,3.46771373
7,1,34,30,1,3,23,1,1,8.7,4.35,1.227032207,0.617627965,1.044210934,1,0.984758394,0,3.929866254,3.557748052
5,3,23,50,3,4,20,1,1,10,10,1.089603145,0.92149987,1.039172163,1,0.984487755,0,3.794253878,3.894194953
7,2,35,30,1,3,21,1,1,14.29,4.76,1.124533388,0.828120078,1.035609395,1,0.984293531,0,3.828722375,3.790804869
3,2,13,,,4,22,1,1,40.9,13.64,1.178862927,0.696826574,1.034252021,1,0.984218902,0,3.882333727,3.645436733
9,3,51,20,0,4,24,1,1,29.17,4.17,1.049916409,0.993289102,1.032928217,1,0.984145782,0,3.755091764,3.973679973
7,5,38,30,1,5,21,1,1,23.8,9.5,1.263581677,0.494577356,1.032880381,1,0.984143134,0,3.965932573,3.421506447
3,5,16,30,1,5,22,1,1,18.18,4.55,0.990769781,1.124502754,1.030889673,1,0.984032528,0,3.696727001,4.118959697
2,2,7,40,2,3,19,1,2,5.26,63.15,1.010440867,1.06922244,1.028075339,1,0.983874858,0,3.716138053,4.057753347
5,7,27,30,1,6,24,1,1,16.67,0,1.23202463,0.55096993,1.02770822,1,0.983854177,0,3.934792681,3.483944291
7,8,41,30,1,6,21,1,1,19.05,0,1.222877009,0.570010196,1.027016965,1,0.983815166,0,3.925765984,3.505025669
7,3,36,30,1,4,22,1,1,27.27,9.1,1.034574989,0.999195728,1.023961211,1,0.983641595,0,3.739953144,3.980219788
5,4,24,20,0,4,19,1,1,5.26,0,0.963083378,1.159007864,1.021860724,1,0.983521219,0,3.669406587,4.157163747
2,6,11,30,1,6,20,1,1,15,20,0.82208129,1.477207002,1.018619004,1,0.983333721,0,3.530268417,4.509473757
7,8,41,30,1,6,21,1,1,19.05,0,1.003386263,1.048818761,1.017016012,1,0.983240228,0,3.709176704,4.035162398
6,4,32,30,1,5,23,2,1,26.09,26.09,0.939306836,1.180806285,1.011756671,1,0.982929829,0,3.645944349,4.181298953
7,6,39,40,2,6,21,1,1,19.05,4.76,0.976830831,1.085930607,1.009560764,1,0.982798556,0,3.682972311,4.076252625
9,6,55,20,0,6,20,1,1,30,5,0.931002123,1.182244116,1.006374721,1,0.982606317,0,3.637749417,4.18289092
1,4,4,40,2,5,21,1,1,33.33,4.76,0.772736421,1.548354508,1.005421847,1,0.982548412,0,3.481575842,4.588248258
8,3,44,30,1,4,22,1,1,27.27,18.18,0.904438943,1.23224982,1.002782206,1,0.982387009,0,3.611537378,4.238257223
2,6,11,30,1,6,20,1,1,15,20,1.272536792,0.348131587,0.995215231,1,0.981916109,0,3.97476931,3.259361726
5,1,21,30,1,3,21,1,1,23.81,23.81,0.881622372,1.233781389,0.987270077,1,0.981408308,0,3.589022421,4.239952976
9,6,54,30,1,6,21,1,2,38.1,9.52,0.982572271,0.99598952,0.986597446,1,0.981364678,0,3.688637854,3.976669875
4,1,18,30,1,3,25,1,1,20,8,0.961673933,1.040867752,0.985432079,1,0.981288848,0,3.668015773,4.026359043
